id,cntbl_cond,domain,task,query,subject,prompt_category,graph,human_subj_id,temperature,LLM-confidence,likelihood-rating
1,ppp,economy,a,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,80.0
2,ppp,economy,a,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,100.0
3,ppp,economy,b,,claude-3-opus,numeric-certainty,collider,,0.0,70.0,80.0
4,ppp,economy,b,,claude-3-opus,numeric-certainty,collider,,0.0,20.0,50.0
5,ppp,economy,c,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,75.0
6,ppp,economy,c,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,90.0
7,ppp,economy,d,,claude-3-opus,numeric-certainty,collider,,0.0,20.0,50.0
8,ppp,economy,d,,claude-3-opus,numeric-certainty,collider,,0.0,20.0,50.0
9,ppp,economy,e,,claude-3-opus,numeric-certainty,collider,,0.0,20.0,50.0
10,ppp,economy,e,,claude-3-opus,numeric-certainty,collider,,0.0,20.0,50.0
11,ppp,economy,f,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0
12,ppp,economy,f,,claude-3-opus,numeric-certainty,collider,,0.0,20.0,50.0
13,ppp,economy,g,,claude-3-opus,numeric-certainty,collider,,0.0,20.0,50.0
14,ppp,economy,g,,claude-3-opus,numeric-certainty,collider,,0.0,20.0,50.0
15,ppp,economy,h,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0
16,ppp,economy,h,,claude-3-opus,numeric-certainty,collider,,0.0,20.0,50.0
17,ppp,economy,i,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0
18,ppp,economy,j,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0
19,ppp,economy,j,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,75.0
20,ppp,economy,k,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,90.0
61,pmm,economy,a,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,80.0
62,pmm,economy,a,,claude-3-opus,numeric-certainty,collider,,0.0,20.0,50.0
63,pmm,economy,b,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,80.0
