id,cntbl_cond,domain,task,query,subject,prompt_category,graph,human_subj_id,temperature,LLM-confidence,likelihood-rating,reasoning_type,RW17_label
457,mmp,weather,I,"p(E=1|C1=0, C2=0)",humans,,collider,72.0,,,50.0,Predictive Inference,i
177,ppp,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
117,mpm,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,40.0,Predictive Inference,i
237,pmm,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
277,mpm,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,70.0,25.0,Predictive Inference,i
297,mmp,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
337,ppp,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,100.0,0.0,Predictive Inference,i
397,pmm,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
77,pmm,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
437,mpm,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,70.0,20.0,Predictive Inference,i
457,mmp,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
17,ppp,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
137,mmp,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,90.0,20.0,Predictive Inference,i
77,pmm,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,90.0,20.0,Predictive Inference,i
117,mpm,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,70.0,20.0,Predictive Inference,i
137,mmp,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
177,ppp,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
237,pmm,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
457,mmp,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
277,mpm,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,75.0,25.0,Predictive Inference,i
297,mmp,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
337,ppp,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,100.0,0.0,Predictive Inference,i
397,pmm,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
437,mpm,weather,I,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
437,mpm,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
17,ppp,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
117,mpm,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,70.0,20.0,Predictive Inference,i
77,pmm,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,80.0,20.0,Predictive Inference,i
137,mmp,economy,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,25.0,Predictive Inference,i
177,ppp,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
237,pmm,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
277,mpm,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,70.0,25.0,Predictive Inference,i
297,mmp,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
297,mmp,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,40.0,50.0,Predictive Inference,i
337,ppp,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,100.0,0.0,Predictive Inference,i
397,pmm,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
437,mpm,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,70.0,20.0,Predictive Inference,i
457,mmp,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,100.0,0.0,Predictive Inference,i
277,mpm,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,80.0,10.0,Predictive Inference,i
17,ppp,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
77,pmm,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,90.0,20.0,Predictive Inference,i
117,mpm,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,70.0,20.0,Predictive Inference,i
137,mmp,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,90.0,20.0,Predictive Inference,i
177,ppp,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
237,pmm,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
237,pmm,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
277,mpm,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,70.0,25.0,Predictive Inference,i
297,mmp,sociology,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
337,ppp,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,100.0,0.0,Predictive Inference,i
177,ppp,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,60.0,50.0,Predictive Inference,i
397,pmm,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
437,mpm,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,90.0,0.0,Predictive Inference,i
457,mmp,weather,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,100.0,0.0,Predictive Inference,i
17,ppp,economy,I,,gemini-1.5-pro,numeric-certainty,collider,,0.0,50.0,50.0,Predictive Inference,i
