id,cntbl_cond,domain,task,query,subject,prompt_category,graph,human_subj_id,temperature,likelihood-rating
1,ppp,economy,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
2,ppp,economy,a,,claude-3-opus,single_numeric_response,collider,,0.0,80.0
3,ppp,economy,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
4,ppp,economy,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
5,ppp,economy,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
6,ppp,economy,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
7,ppp,economy,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
8,ppp,economy,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
9,ppp,economy,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
10,ppp,economy,e,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
11,ppp,economy,f,,claude-3-opus,single_numeric_response,collider,,0.0,20.0
12,ppp,economy,f,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
13,ppp,economy,g,,claude-3-opus,single_numeric_response,collider,,0.0,25.0
14,ppp,economy,g,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
15,ppp,economy,h,,claude-3-opus,single_numeric_response,collider,,0.0,25.0
16,ppp,economy,h,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
17,ppp,economy,i,,claude-3-opus,single_numeric_response,collider,,0.0,25.0
18,ppp,economy,j,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
19,ppp,economy,j,,claude-3-opus,single_numeric_response,collider,,0.0,75.0
20,ppp,economy,k,,claude-3-opus,single_numeric_response,collider,,0.0,90.0
61,pmm,economy,a,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
62,pmm,economy,a,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
63,pmm,economy,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
64,pmm,economy,b,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
65,pmm,economy,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
66,pmm,economy,c,,claude-3-opus,single_numeric_response,collider,,0.0,100.0
67,pmm,economy,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
68,pmm,economy,d,,claude-3-opus,single_numeric_response,collider,,0.0,50.0
