id,cntbl_cond,domain,task,query,subject,prompt_category,graph,human_subj_id,temperature,likelihood-rating,LLM-confidence,explanation,reasoning_type,RW17_label
397,pmm,sociology,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,50.0,,,Predictive Inference,i
457,mmp,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,137.0,,35.0,,,Predictive Inference,i
117,mpm,economy,I,,gemini-1.5-pro,numeric-confidence-CoT,collider,,0.0,20.0,70.0,"High interest rates and small trade deficits cause low retirement savings. We observe normal interest rates and normal trade deficits.  Since neither of the causes of low retirement savings are present, low retirement savings are unlikely.",Predictive Inference,i
337,ppp,weather,I,,gpt-4o,numeric-only,collider,,0.0,20.0,,,Predictive Inference,i
77,pmm,economy,I,,gpt-3.5-turbo,numeric-only,collider,,0.0,0.0,,,Predictive Inference,i
297,mmp,weather,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,0.0,,,Predictive Inference,i
277,mpm,sociology,I,,claude-3-opus,numeric-only,collider,,0.0,50.0,,,Predictive Inference,i
397,pmm,weather,I,,gpt-3.5-turbo,numeric-certainty,collider,,0.0,50.0,70.0,,Predictive Inference,i
137,mmp,economy,I,,gpt-4o,numeric-confidence-CoT,collider,,0.0,20.0,80.0,"High retirement savings are influenced by high interest rates and large trade deficits. Currently, both interest rates and trade deficits are normal, not high. Since neither of the conditions that cause high retirement savings is present, it is unlikely that high retirement savings are occurring. Therefore, the likelihood of high retirement savings is low.",Predictive Inference,i
297,mmp,weather,I,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,,,Predictive Inference,i
397,pmm,sociology,I,,gpt-4o,single_numeric_response,collider,,0.0,0.0,,,Predictive Inference,i
457,mmp,weather,I,,gpt-4o,numeric-certainty,collider,,0.0,10.0,90.0,,Predictive Inference,i
237,pmm,sociology,I,,claude-3-opus,numeric-certainty,collider,,0.0,50.0,60.0,,Predictive Inference,i
297,mmp,weather,I,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,,,Predictive Inference,i
77,pmm,economy,I,,gemini-1.5-pro,numeric-confidence-CoT,collider,,0.0,20.0,80.0,"Low interest rates and large trade deficits cause low retirement savings. We observe normal interest rates and normal trade deficits.  Since neither of the causes of low retirement savings are present, low retirement savings are unlikely.",Predictive Inference,i
397,pmm,weather,I,,gpt-4o,numeric-only,collider,,0.0,0.0,,,Predictive Inference,i
137,mmp,economy,I,,gpt-3.5-turbo,numeric-confidence-CoT,collider,,0.0,10.0,70.0,Normal interest rates and trade deficits do not suggest high retirement savings based on the causal relationships described.,Predictive Inference,i
