id,cntbl_cond,domain,task,query,subject,prompt_category,graph,human_subj_id,temperature,likelihood-rating,reasoning_type,RW17_label
397,pmm,sociology,I,,gpt-4o,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
457,mmp,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,107.0,,40.0,Predictive Inference,i
457,mmp,sociology,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,137.0,,35.0,Predictive Inference,i
237,pmm,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,138.0,,0.0,Predictive Inference,i
77,pmm,economy,I,,gpt-4o,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
237,pmm,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,101.0,,10.0,Predictive Inference,i
237,pmm,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,56.0,,30.0,Predictive Inference,i
237,pmm,weather,I,,claude-3-opus,single_numeric_response,collider,,0.0,10.0,Predictive Inference,i
277,mpm,weather,I,,gpt-4o,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
17,ppp,economy,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
77,pmm,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,119.0,,40.0,Predictive Inference,i
77,pmm,economy,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
117,mpm,economy,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
117,mpm,economy,I,,gpt-4o,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
177,ppp,weather,I,,claude-3-opus,single_numeric_response,collider,,0.0,5.0,Predictive Inference,i
137,mmp,economy,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
177,ppp,weather,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
237,pmm,weather,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
177,ppp,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,109.0,,65.0,Predictive Inference,i
177,ppp,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,97.0,,30.0,Predictive Inference,i
277,mpm,weather,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
177,ppp,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,45.0,,0.0,Predictive Inference,i
177,ppp,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,22.0,,20.0,Predictive Inference,i
17,ppp,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,69.0,,5.0,Predictive Inference,i
177,ppp,weather,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,4.0,,5.0,Predictive Inference,i
137,mmp,economy,I,,claude-3-opus,single_numeric_response,collider,,0.0,10.0,Predictive Inference,i
297,mmp,weather,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,0.0,Predictive Inference,i
17,ppp,economy,I,"p(Z=1|X=0, Y=0)",humans,numeric-only,collider,58.0,,40.0,Predictive Inference,i
337,ppp,sociology,I,,gemini-1.5-pro,single_numeric_response,collider,,0.0,50.0,Predictive Inference,i
