LLM,Temperature,Correlation,P_value,Method,N,domain
claude-3-opus,0.0,0.6408555986825611,5.996000246505131e-19,spearman,152,economy
claude-3-opus,0.0,0.7392867458584065,1.5208644982480628e-27,spearman,152,sociology
claude-3-opus,0.0,0.7545869310412355,3.081553612287975e-29,spearman,152,weather
gemini-1.5-pro,0.0,0.7133866802141294,6.216015528172516e-25,spearman,152,economy
gemini-1.5-pro,0.0,0.7433739607505686,5.5147437067696265e-28,spearman,152,sociology
gemini-1.5-pro,0.0,0.8551507799831094,1.194640554064947e-44,spearman,152,weather
gpt-3.5-turbo,0.0,0.390,6.859669230825947e-07,spearman,152,economy
gpt-3.5-turbo,0.0,0.4725015288822532,7.945210416052811e-10,spearman,152,sociology
gpt-3.5-turbo,0.0,0.31283511308441325,8.708816457337967e-05,spearman,152,weather
gpt-4o,0.0,0.6178363430328161,2.2729126905094423e-17,spearman,152,economy
gpt-4o,0.0,0.5058625016281499,2.97628184261232e-11,spearman,152,sociology
gpt-4o,0.0,0.7674669794041574,9.20099761185741e-31,spearman,152,weather
