id;response;prompt_category;graph;domain;task;cntbl_cond;subject;temperature
1;"<response><likelihood>50</likelihood><confidence>50</confidence></response>
";numeric-certainty;collider;abc;a;ppp;gemini-1.5-pro;0.0
2;"<response><likelihood>50</likelihood><confidence>50</confidence></response>
";numeric-certainty;collider;abc;a;ppp;gemini-1.5-pro;0.0
3;"<response><likelihood>75</likelihood><confidence>70</confidence></response>
";numeric-certainty;collider;abc;b;ppp;gemini-1.5-pro;0.0
4;"<response><likelihood>75</likelihood><confidence>70</confidence></response>
";numeric-certainty;collider;abc;b;ppp;gemini-1.5-pro;0.0
5;"<response><likelihood>50</likelihood><confidence>50</confidence></response>
";numeric-certainty;collider;abc;c;ppp;gemini-1.5-pro;0.0
6;"<response><likelihood>100</likelihood><confidence>100</confidence></response>
";numeric-certainty;collider;abc;c;ppp;gemini-1.5-pro;0.0
7;"<response><likelihood>50</likelihood><confidence>50</confidence></response>
";numeric-certainty;collider;abc;d;ppp;gemini-1.5-pro;0.0
8;"<response><likelihood>50</likelihood><confidence>50</confidence></response>
";numeric-certainty;collider;abc;d;ppp;gemini-1.5-pro;0.0
9;"<response><likelihood>50</likelihood><confidence>80</confidence></response>
";numeric-certainty;collider;abc;e;ppp;gemini-1.5-pro;0.0
10;"<response><likelihood>70</likelihood><confidence>70</confidence></response>
";numeric-certainty;collider;abc;e;ppp;gemini-1.5-pro;0.0
11;"<response><likelihood>0</likelihood><confidence>100</confidence></response>
";numeric-certainty;collider;abc;f;ppp;gemini-1.5-pro;0.0
