id,response,prompt_category,graph,cntbl_cond,subject,temperature
1,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
2,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
3,75,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
4,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
5,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
6,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
7,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
8,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
9,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
10,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
11,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
12,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
13,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
14,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
15,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
16,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
17,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
18,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
19,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
20,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
61,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
62,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
63,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
64,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
65,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
66,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
67,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
68,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
69,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
70,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
71,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
72,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
73,75,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
74,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
75,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
76,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
77,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
78,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
79,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
80,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
101,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
102,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
103,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
104,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
105,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
106,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
107,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
108,50,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
109,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
110,50,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
111,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
112,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
113,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
114,50,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
115,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
116,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
117,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
118,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
119,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
120,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
121,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
122,0,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
123,0,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
124,0,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
125,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
126,0,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
127,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
128,50,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
129,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
130,50,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
131,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
132,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
133,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
134,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
135,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
136,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
137,100,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
138,50,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
139,50,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
140,0,single_numeric_response,collider,mmp,gemini-1.5-pro,0.3
161,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
162,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
163,75,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
164,75,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
165,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
166,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
167,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
168,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
169,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
170,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
171,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
172,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
173,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
174,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
175,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
176,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
177,0,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
178,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
179,50,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
180,100,single_numeric_response,collider,ppp,gemini-1.5-pro,0.3
221,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
222,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
223,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
224,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
225,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
226,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
227,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
228,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
229,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
230,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
231,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
232,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
233,75,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
234,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
235,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
236,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
237,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
238,100,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
239,0,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
240,50,single_numeric_response,collider,pmm,gemini-1.5-pro,0.3
261,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
262,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
263,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
264,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
265,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
266,0,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
267,50,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
268,50,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
269,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
270,50,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
271,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
272,100,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
273,50,single_numeric_response,collider,mpm,gemini-1.5-pro,0.3
