id,prompt,prompt_category,graph,domain,cntbl_cond,task
1," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: large drk, small blg. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,a
2," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: large drk, high fwp. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,a
3," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: large drk. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,b
4," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: large drk. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,b
5," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: large drk, large blg. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,c
6," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: large drk, low fwp. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,c
7," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: small blg. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,d
8," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: high fwp. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,d
9," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: large blg. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,e
10," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: low fwp. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,e
11," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: small drk, small blg. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,f
12," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: small drk, high fwp. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,f
13," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: small drk. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is high fwp? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,g
14," Assume you live in a world that works like this: high fwp cause large drk. Also, small blg cause large drk.. Now suppose you observe the following: small drk. Given the observations and the causal mechanism, how likely on a scale from 0 to 100 is small blg? 0 means definitely not likely and 100 means definitely likely. Please provide only a numeric response and no additional information.",single_numeric_response,collider,xqt,ppp,g
