id,cntbl_cond,domain,task,subject,prompt_category,graph,temperature,response,reasoning_type,label,X,X_values,X_cntbl,X_sense,Y,Y_values,Y_cntbl,Y_sense,Z,Z_values,Z_cntbl,Z_sense,query_node,observation
397,pmm,sociology,I,gpt-4o,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,urbanization,1,p,high,interest in religion,1,m,high,socio-economic mobility,1,m,low,Z=1,"X=0, Y=0"
457,mmp,sociology,I,humans,single_numeric_response,collider,,40.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,m,high,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
457,mmp,sociology,I,humans,single_numeric_response,collider,,35.0,Predictive Inference,i,urbanization,1,m,low,interest in religion,1,m,high,socio-economic mobility,1,p,high,Z=1,"X=0, Y=0"
237,pmm,weather,I,humans,single_numeric_response,collider,,0.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,m,high,humidity,1,m,low,Z=1,"X=0, Y=0"
77,pmm,economy,I,gpt-4o,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,m,large,retirement savings,1,m,low,Z=1,"X=0, Y=0"
237,pmm,weather,I,humans,single_numeric_response,collider,,10.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,m,high,humidity,1,m,low,Z=1,"X=0, Y=0"
237,pmm,weather,I,humans,single_numeric_response,collider,,30.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,m,high,humidity,1,m,low,Z=1,"X=0, Y=0"
237,pmm,weather,I,claude-3-opus,single_numeric_response,collider,0.0,10.0,Predictive Inference,i,ozone levels,1,p,high,air pressure,1,m,high,humidity,1,m,low,Z=1,"X=0, Y=0"
277,mpm,weather,I,gpt-4o,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,ozone levels,1,m,low,air pressure,1,p,low,humidity,1,m,low,Z=1,"X=0, Y=0"
17,ppp,economy,I,gemini-1.5-pro,single_numeric_response,collider,0.0,0.0,Predictive Inference,i,interest rates,1,p,low,trade deficits,1,p,small,retirement savings,1,p,high,Z=1,"X=0, Y=0"
