LLM;Domain;Correlation;P_value;Method;N
claude-3-opus;weather;0.7538775262665138;7.992938185251962e-66;spearman;352
claude-3-opus;economy;0.6395901971800131;6.918524404747274e-42;spearman;352
claude-3-opus;sociology;0.6836472201587962;8.267050123313342e-50;spearman;352
gpt-3.5-turbo;weather;0.6117169529275236;1.6501229180535951e-37;spearman;352
gpt-3.5-turbo;economy;0.4876592263607706;1.9885073683915694e-22;spearman;352
gpt-3.5-turbo;sociology;0.5115943705244747;7.1621556931738035e-25;spearman;352
gemini-pro;weather;0.6092343192428298;3.8591634200080115e-37;spearman;352
gemini-pro;economy;0.5881172952089344;3.959605587248543e-34;spearman;352
gemini-pro;sociology;0.47829431654474963;1.5976030626104111e-21;spearman;352
gpt-4o;weather;0.7267401757271598;4.815124178226829e-59;spearman;352
gpt-4o;economy;0.6775707125703923;1.2370302077800505e-48;spearman;352
gpt-4o;sociology;0.6703063677522053;2.887320306808591e-47;spearman;352
