;LLM;Temperature;Correlation;P_value;Method;N;domain
0;claude-3-opus;0.0;0.5432310099483009;1.299416282348802e-264;spearman;3456;economy
1;claude-3-opus;0.0;0.6237621831490521;0.0;spearman;3520;sociology
2;claude-3-opus;0.0;0.6671096021105443;0.0;spearman;3424;weather
3;claude-3-opus;0.5;0.5578434810167414;1.2690049914756374e-275;spearman;3378;economy
4;claude-3-opus;0.5;0.6087712644803672;0.0;spearman;3500;sociology
5;claude-3-opus;0.5;0.6946068182712821;0.0;spearman;3310;weather
6;claude-3-opus;0.7;0.5385597485508112;9.608299908670469e-247;spearman;3288;economy
7;claude-3-opus;0.7;0.6257907441929065;0.0;spearman;3468;sociology
8;claude-3-opus;0.7;0.6892242872217551;0.0;spearman;3272;weather
9;claude-3-opus;0.3;0.5429513798888718;1.4780305922738453e-261;spearman;3420;economy
10;claude-3-opus;0.3;0.6197032388522539;0.0;spearman;3520;sociology
11;claude-3-opus;0.3;0.6663051582599866;0.0;spearman;3388;weather
12;claude-3-opus;1.0;0.5415950711844341;2.2610033176744211e-237;spearman;3120;economy
13;claude-3-opus;1.0;0.6238741774466959;0.0;spearman;3220;sociology
14;claude-3-opus;1.0;0.6947418830999064;0.0;spearman;3048;weather
15;gpt-3.5-turbo;0.7;0.41372055819524645;4.0846901496767306e-134;spearman;3238;economy
16;gpt-3.5-turbo;0.7;0.408768242431938;2.4601037799292448e-132;spearman;3280;sociology
17;gpt-3.5-turbo;0.7;0.48191168324107186;8.160056114921672e-197;spearman;3392;weather
18;gpt-3.5-turbo;0.5;0.41838772117071443;7.334686914867218e-143;spearman;3368;economy
19;gpt-3.5-turbo;0.5;0.4178012325336705;1.3557918558751376e-143;spearman;3396;sociology
20;gpt-3.5-turbo;0.5;0.4965683498684298;6.575676363083078e-214;spearman;3444;weather
21;gpt-3.5-turbo;0.0;0.4115506091178667;2.234341686326357e-139;spearman;3406;economy
22;gpt-3.5-turbo;0.0;0.43164183141650503;2.0769001739958817e-157;spearman;3468;sociology
23;gpt-3.5-turbo;0.0;0.4910971317800367;6.379106168349955e-212;spearman;3500;weather
24;gpt-3.5-turbo;1.0;0.4037814006853809;4.691804802579072e-121;spearman;3078;economy
25;gpt-3.5-turbo;1.0;0.39538730158651236;8.801834115640695e-120;spearman;3188;sociology
26;gpt-3.5-turbo;1.0;0.5093770591300831;4.603919082139109e-218;spearman;3310;weather
27;gpt-3.5-turbo;0.3;0.4062616965455567;7.944185638500224e-135;spearman;3388;economy
28;gpt-3.5-turbo;0.3;0.4248806072956815;8.188775389534438e-150;spearman;3416;sociology
29;gpt-3.5-turbo;0.3;0.4928482190889884;2.7508940076490833e-213;spearman;3494;weather
30;gemini-pro;1.0;0.39110893140551944;5.1664161847043756e-129;spearman;3520;economy
31;gemini-pro;1.0;0.3950191950722848;8.54057804148739e-132;spearman;3520;sociology
32;gemini-pro;1.0;0.41596971581728337;2.3596504182642634e-147;spearman;3520;weather
33;gemini-pro;0.0;0.37762802765076753;1.0425337443475388e-119;spearman;3520;economy
34;gemini-pro;0.0;0.28536814351112133;6.057544594668462e-67;spearman;3520;sociology
35;gemini-pro;0.0;0.4031896989523728;9.917790718140582e-138;spearman;3520;weather
36;gemini-pro;0.3;0.37330420902664907;8.138179682598955e-117;spearman;3520;economy
37;gemini-pro;0.3;0.31366621223380914;3.251398703108632e-81;spearman;3520;sociology
38;gemini-pro;0.3;0.4157500168374487;3.48221156405429e-147;spearman;3520;weather
39;gemini-pro;0.7;0.4065476116587276;3.224416921759879e-140;spearman;3520;economy
40;gemini-pro;0.7;0.3536521378425323;3.2398093294535e-104;spearman;3520;sociology
41;gemini-pro;0.7;0.4288538640172444;1.7293015545008696e-157;spearman;3520;weather
42;gemini-pro;0.5;0.3561753591741345;8.750431288183435e-106;spearman;3520;economy
43;gemini-pro;0.5;0.3296352346213489;5.452308000095555e-90;spearman;3520;sociology
44;gemini-pro;0.5;0.4150017530665204;1.3077469057668722e-146;spearman;3520;weather
45;gpt-4o;0.7;0.6031548991684402;0.0;spearman;3520;economy
46;gpt-4o;0.7;0.5027669291027871;6.736843067370544e-225;spearman;3520;sociology
47;gpt-4o;0.7;0.604448399755467;0.0;spearman;3520;weather
48;gpt-4o;1.0;0.5971545028794536;0.0;spearman;3520;economy
49;gpt-4o;1.0;0.5233878781988542;7.339306841820579e-247;spearman;3520;sociology
50;gpt-4o;1.0;0.6222380825896919;0.0;spearman;3520;weather
51;gpt-4o;0.5;0.6114851908169144;0.0;spearman;3520;economy
52;gpt-4o;0.5;0.5423704250848551;1.8295603658658748e-268;spearman;3520;sociology
53;gpt-4o;0.5;0.6151680588869132;0.0;spearman;3520;weather
54;gpt-4o;0.0;0.6208126454801303;0.0;spearman;3520;economy
55;gpt-4o;0.0;0.5420194955028791;4.724755683901487e-268;spearman;3520;sociology
56;gpt-4o;0.0;0.6101681505788324;0.0;spearman;3520;weather
57;gpt-4o;0.3;0.6300529401740801;0.0;spearman;3520;economy
58;gpt-4o;0.3;0.5210760032685305;2.5347505570365808e-244;spearman;3520;sociology
59;gpt-4o;0.3;0.6096917258781039;0.0;spearman;3520;weather
