;;R2;R2;Slope;Slope;RMSE;RMSE
;;mean;std;mean;std;mean;std
LLM;domain;;;;;;
claude-3-opus;economy;0.318;0.007;0.699;0.006;0.267;0.005
claude-3-opus;sociology;0.44;0.009;0.817;0.008;0.245;0.003
claude-3-opus;weather;0.541;0.014;0.842;0.021;0.24;0.002
gemini-pro;economy;0.164;0.015;0.599;0.048;0.348;0.02
gemini-pro;sociology;0.142;0.016;0.547;0.008;0.358;0.022
gemini-pro;weather;0.194;0.009;0.588;0.045;0.367;0.02
gpt-3.5-turbo;economy;0.16;0.007;0.582;0.013;0.345;0.005
gpt-3.5-turbo;sociology;0.187;0.019;0.562;0.029;0.312;0.005
gpt-3.5-turbo;weather;0.261;0.004;0.732;0.009;0.378;0.002
gpt-4o;economy;0.43;0.013;1.006;0.007;0.298;0.007
gpt-4o;sociology;0.324;0.013;0.868;0.015;0.332;0.006
gpt-4o;weather;0.42;0.008;0.826;0.008;0.298;0.005
