;LLM;Temperature;R2;Slope;Intercept;MSE;RMSE;N;domain
0;claude-3-opus;0.0;0.3166810240237432;0.6961297242164012;0.10541227776514939;0.0703272015297184;0.26519276296633437;3456;economy
1;claude-3-opus;0.0;0.44255655275345385;0.8189473587404345;0.026811010153031778;0.05930919441805361;0.24353479098078287;3520;sociology
2;claude-3-opus;0.0;0.525168028645651;0.8167570484403199;0.010277433408569958;0.05711738680203743;0.23899244088890642;3424;weather
3;claude-3-opus;0.5;0.3293879205111119;0.7016026001761866;0.10127164197015986;0.06778400768377878;0.26035362045452487;3378;economy
4;claude-3-opus;0.5;0.4261123508530593;0.8029535525433352;0.03982481690232348;0.061104446175868014;0.247193135373675;3500;sociology
5;claude-3-opus;0.5;0.5532975573164085;0.8566422573283022;-0.012542453037237722;0.056749732073568315;0.23822202264603565;3310;weather
6;claude-3-opus;0.7;0.3140206387752008;0.7088815369404307;0.08994435289986163;0.07447452026475067;0.27290020202401954;3288;economy
7;claude-3-opus;0.7;0.4446523120724767;0.820183314204484;0.0232316592243626;0.05957394883782995;0.24407775162400597;3468;sociology
8;claude-3-opus;0.7;0.543849483212683;0.8374840476773187;0.00732389944962486;0.05661886804469936;0.2379471959168659;3272;weather
9;claude-3-opus;0.3;0.31496694233381073;0.6925878874539272;0.10507343451058299;0.07065290349405826;0.2658061389322268;3420;economy
10;claude-3-opus;0.3;0.45041306970831774;0.8210697469099477;0.020259049440847166;0.05775153419875996;0.2403154888865051;3520;sociology
11;claude-3-opus;0.3;0.5275952833087785;0.8313614273557879;-0.0022348426592804227;0.058680465595139446;0.24224051187846232;3388;weather
12;claude-3-opus;1.0;0.31278306669121236;0.6957549202151012;0.0938192002489161;0.0736934123536411;0.27146530598520524;3120;economy
13;claude-3-opus;1.0;0.438548402600743;0.8238415256523696;0.021602307879110993;0.06218678007309751;0.24937277331957775;3220;sociology
14;claude-3-opus;1.0;0.5560157492703396;0.8685844584964179;-0.003631349774339432;0.05850647422973543;0.2418811159014598;3048;weather
15;gpt-3.5-turbo;0.7;0.1671448658975382;0.589763895523604;0.17038163602234807;0.11733816901620726;0.34254659393461684;3238;economy
16;gpt-3.5-turbo;0.7;0.17830825713435194;0.5435371256275728;0.24260390188534975;0.09807643720455475;0.31317157790028577;3280;sociology
17;gpt-3.5-turbo;0.7;0.25986897796787145;0.7308204799363641;0.1173303279003598;0.14414533891886558;0.37966477176433633;3392;weather
18;gpt-3.5-turbo;0.5;0.16708139419430468;0.5948916873662368;0.18750942865344283;0.11661456932389647;0.3414887543154188;3368;economy
19;gpt-3.5-turbo;0.5;0.187184134532404;0.5628851545069079;0.22940507509212188;0.09755847794724827;0.31234352554078704;3396;sociology
20;gpt-3.5-turbo;0.5;0.25495898657184457;0.7200786293837323;0.13191708417339143;0.14369662242178052;0.37907337340121966;3444;weather
21;gpt-3.5-turbo;0.0;0.15668035320683638;0.5877904468974352;0.17240126059250727;0.12283671617163489;0.3504806930083808;3406;economy
22;gpt-3.5-turbo;0.0;0.21181503787126255;0.5981711591267319;0.2140247672056914;0.09319163208129896;0.30527304512730724;3468;sociology
23;gpt-3.5-turbo;0.0;0.2637546891380643;0.7404881717150783;0.11004051045849528;0.1438012157653554;0.37921130753889104;3500;weather
24;gpt-3.5-turbo;1.0;0.14945823922570634;0.5629724210266366;0.20042604562151722;0.12214993429549031;0.3494995483480491;3078;economy
25;gpt-3.5-turbo;1.0;0.16029206871128276;0.5261857277073484;0.2435424999721144;0.10174597635109964;0.3189764510917689;3188;sociology
26;gpt-3.5-turbo;1.0;0.2618716470062872;0.7266770198362166;0.13515616224859095;0.14055005538373808;0.3749000605277866;3310;weather
27;gpt-3.5-turbo;0.3;0.15937184223835554;0.5768563299057403;0.1960464677199082;0.11609036143876632;0.34072035665449507;3388;economy
28;gpt-3.5-turbo;0.3;0.1973341141506506;0.5803966050226901;0.22107274632909824;0.09687752288749589;0.31125154278733447;3416;sociology
29;gpt-3.5-turbo;0.3;0.26443894491899966;0.7421357313709125;0.12229328205842083;0.14408476198748693;0.3795849865148606;3494;weather
30;gemini-pro;1.0;0.15737169047052102;0.5458692595041434;0.26438878358986995;0.10550572120558017;0.324816442326401;3520;economy
31;gemini-pro;1.0;0.16951062848077159;0.5494289766038842;0.23685824933784605;0.10383368757126842;0.3222323502866657;3520;sociology
32;gemini-pro;1.0;0.18350803030260554;0.53534399658575;0.2737172358188882;0.12020907194074701;0.3467117995406949;3520;weather
33;gemini-pro;0.0;0.1759997964176584;0.6630396477249446;0.21323546372640434;0.13610793652019015;0.36892809125924547;3520;economy
34;gemini-pro;0.0;0.1293178920632646;0.555892252795763;0.3065052052678041;0.1460697409824598;0.382190712841717;3520;sociology
35;gemini-pro;0.0;0.19603120386321604;0.6318241387377164;0.2356265047837382;0.15434086886005574;0.3928624044879527;3520;weather
36;gemini-pro;0.3;0.16626157163230892;0.6287808987444158;0.2343555837347393;0.13110701122127533;0.36208702161396966;3520;economy
37;gemini-pro;0.3;0.1297022458833953;0.5374930105944672;0.31967433048852273;0.1360955803168182;0.3689113447927811;3520;sociology
38;gemini-pro;0.3;0.20917293826256023;0.6333429148644233;0.2328123855593836;0.14296455765516405;0.3781065427299084;3520;weather
39;gemini-pro;0.7;0.1781493243676886;0.5929507398917262;0.23566292980586384;0.10725937612341215;0.32750477267272327;3520;economy
40;gemini-pro;0.7;0.14029655814851005;0.5403597704532075;0.27261867274867585;0.1256162078549715;0.3544237687500254;3520;sociology
41;gemini-pro;0.7;0.1905021880528195;0.5503719267845453;0.26833307171401494;0.12133966299714108;0.34833843169702233;3520;weather
42;gemini-pro;0.5;0.14226246871159998;0.5631753085259562;0.26930111468131035;0.12645633273633636;0.3556069919677288;3520;economy
43;gemini-pro;0.5;0.13952971727688912;0.5512696806945258;0.2730913588875812;0.1315756091863916;0.36273352365943734;3520;sociology
44;gemini-pro;0.5;0.19219731802247042;0.5883539065143641;0.2655703169160966;0.13715441023780342;0.3703436380414863;3520;weather
45;gpt-4o;0.7;0.4290444570946085;1.008539045272848;-0.13971499088159955;0.08951065390486154;0.2991833115413718;3520;economy
46;gpt-4o;0.7;0.3075882601619302;0.8496762801648032;-0.011070482636845458;0.114098430142731;0.33778459133407934;3520;sociology
47;gpt-4o;0.7;0.4100827117751912;0.8288550341457083;0.02539623769017635;0.09316469120683377;0.30522891607256636;3520;weather
48;gpt-4o;1.0;0.4114096618811586;0.9982970239873266;-0.145127804056765;0.09428606128554533;0.3070603544672372;3520;economy
49;gpt-4o;1.0;0.31989514117458473;0.8773331739258393;-0.03186203281341993;0.114888179928832;0.33895158935876374;3520;sociology
50;gpt-4o;1.0;0.426958817242871;0.8327558659410377;0.016007222961943623;0.08774245376295703;0.296213527312574;3520;weather
51;gpt-4o;0.5;0.42420275127103235;1.0052129726899575;-0.13970140863033637;0.090698806643026;0.3011624256825974;3520;economy
52;gpt-4o;0.5;0.33312167071970833;0.8702821512654487;-0.03482692024720335;0.10644907331069162;0.3262653418778826;3520;sociology
53;gpt-4o;0.5;0.4272842815511585;0.8313976999616671;0.020330965204059637;0.08734023375528562;0.2955338115263389;3520;weather
54;gpt-4o;0.0;0.44031706961518147;1.0019030102467197;-0.13992383382268886;0.08437566363727345;0.29047489329935805;3520;economy
55;gpt-4o;0.0;0.34086824171279684;0.8868911859917608;-0.03557147586815829;0.10678355804268638;0.3267775360129371;3520;sociology
56;gpt-4o;0.0;0.41261901562149195;0.8228200821757199;0.04578012034203266;0.09085627687496887;0.30142374968633256;3520;weather
57;gpt-4o;0.3;0.44367100181233454;1.0171861627325491;-0.14139198624291766;0.08579477502514504;0.2929074512967279;3520;economy
58;gpt-4o;0.3;0.3187279369227983;0.8562021777516196;-0.02423484402589815;0.1100097347955348;0.3316771544673145;3520;sociology
59;gpt-4o;0.3;0.42243453579967327;0.8127502711259399;0.01792198636055059;0.08513939755674946;0.2917865616452366;3520;weather
