id,cntbl_cond,domain,task,query,subject,prompt_category,graph,human_subj_id,temperature,likelihood-rating,reasoning_type,RW17_label
1,ppp,economy,VI,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Effect-Present Diagnostic Inference ,a
1,ppp,economy,VI,"p(X=1|Z=1, Y=1)",humans,numeric-only,collider,25.0,,70.83333333333333,Effect-Present Diagnostic Inference ,a
1,ppp,economy,VI,,gemini-1.5-pro,single_numeric_response,collider,,0.0,75.0,Effect-Present Diagnostic Inference ,a
1,ppp,economy,VI,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Effect-Present Diagnostic Inference ,a
1,ppp,economy,VI,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Effect-Present Diagnostic Inference ,a
2,ppp,economy,VI,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Effect-Present Diagnostic Inference ,a
2,ppp,economy,VI,"p(Y=1|Z=1, X=1)",humans,numeric-only,collider,0.0,,70.83333333333333,Effect-Present Diagnostic Inference ,a
2,ppp,economy,VI,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Effect-Present Diagnostic Inference ,a
2,ppp,economy,VI,,claude-3-opus,single_numeric_response,collider,,0.0,80.0,Effect-Present Diagnostic Inference ,a
2,ppp,economy,VI,,gemini-1.5-pro,single_numeric_response,collider,,0.0,75.0,Effect-Present Diagnostic Inference ,a
3,ppp,economy,VII,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Effect-Present Diagnostic Inference ,b
3,ppp,economy,VII,p(X=1|Z=1),humans,numeric-only,collider,69.0,,78.75,Effect-Present Diagnostic Inference ,b
3,ppp,economy,VII,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Effect-Present Diagnostic Inference ,b
3,ppp,economy,VII,,gemini-1.5-pro,single_numeric_response,collider,,0.0,75.0,Effect-Present Diagnostic Inference ,b
3,ppp,economy,VII,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Effect-Present Diagnostic Inference ,b
4,ppp,economy,VII,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Effect-Present Diagnostic Inference ,b
4,ppp,economy,VII,,gemini-1.5-pro,single_numeric_response,collider,,0.0,75.0,Effect-Present Diagnostic Inference ,b
4,ppp,economy,VII,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Effect-Present Diagnostic Inference ,b
4,ppp,economy,VII,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Effect-Present Diagnostic Inference ,b
4,ppp,economy,VII,p(Y=1|Z=1),humans,numeric-only,collider,69.0,,78.75,Effect-Present Diagnostic Inference ,b
5,ppp,economy,VIII,"p(X=1|Z=1, Y=0)",humans,numeric-only,collider,25.0,,76.875,Effect-Present Diagnostic Inference ,c
5,ppp,economy,VIII,,claude-3-opus,single_numeric_response,collider,,0.0,100.0,Effect-Present Diagnostic Inference ,c
5,ppp,economy,VIII,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Effect-Present Diagnostic Inference ,c
5,ppp,economy,VIII,,gemini-1.5-pro,single_numeric_response,collider,,0.0,75.0,Effect-Present Diagnostic Inference ,c
5,ppp,economy,VIII,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Effect-Present Diagnostic Inference ,c
6,ppp,economy,VIII,,gemini-1.5-pro,single_numeric_response,collider,,0.0,75.0,Effect-Present Diagnostic Inference ,c
6,ppp,economy,VIII,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Effect-Present Diagnostic Inference ,c
6,ppp,economy,VIII,,claude-3-opus,single_numeric_response,collider,,0.0,100.0,Effect-Present Diagnostic Inference ,c
6,ppp,economy,VIII,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Effect-Present Diagnostic Inference ,c
6,ppp,economy,VIII,"p(Y=1|Z=1, X=0)",humans,numeric-only,collider,25.0,,76.875,Effect-Present Diagnostic Inference ,c
7,ppp,economy,IV,p(X=1|Y=1),humans,numeric-only,collider,58.0,,58.57142857142857,Conditional Independence,d
7,ppp,economy,IV,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Conditional Independence,d
7,ppp,economy,IV,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Conditional Independence,d
7,ppp,economy,IV,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Conditional Independence,d
7,ppp,economy,IV,,gemini-1.5-pro,single_numeric_response,collider,,0.0,50.0,Conditional Independence,d
8,ppp,economy,IV,p(Y=1|X=1),humans,numeric-only,collider,58.0,,58.57142857142857,Conditional Independence,d
8,ppp,economy,IV,,gemini-1.5-pro,single_numeric_response,collider,,0.0,50.0,Conditional Independence,d
8,ppp,economy,IV,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Conditional Independence,d
8,ppp,economy,IV,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Conditional Independence,d
8,ppp,economy,IV,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Conditional Independence,d
9,ppp,economy,V,p(X=1|Y=0),humans,numeric-only,collider,69.0,,51.0,Conditional Independence,e
9,ppp,economy,V,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,75.0,Conditional Independence,e
9,ppp,economy,V,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Conditional Independence,e
9,ppp,economy,V,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Conditional Independence,e
9,ppp,economy,V,,gemini-1.5-pro,single_numeric_response,collider,,0.0,50.0,Conditional Independence,e
10,ppp,economy,V,,gemini-1.5-pro,single_numeric_response,collider,,0.0,50.0,Conditional Independence,e
10,ppp,economy,V,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Conditional Independence,e
10,ppp,economy,V,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Conditional Independence,e
10,ppp,economy,V,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Conditional Independence,e
10,ppp,economy,V,p(Y=1|X=0),humans,numeric-only,collider,58.0,,51.0,Conditional Independence,e
11,ppp,economy,IX,,claude-3-opus,single_numeric_response,collider,,0.0,20.0,Effect-Absent Diagnostic Inference,f
11,ppp,economy,IX,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Effect-Absent Diagnostic Inference,f
11,ppp,economy,IX,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Effect-Absent Diagnostic Inference,f
11,ppp,economy,IX,"p(X=1|Z=0, Y=1)",humans,numeric-only,collider,0.0,,47.5,Effect-Absent Diagnostic Inference,f
11,ppp,economy,IX,,gemini-1.5-pro,single_numeric_response,collider,,0.0,50.0,Effect-Absent Diagnostic Inference,f
12,ppp,economy,IX,,gpt-4o,single_numeric_response,collider,,0.0,50.0,Effect-Absent Diagnostic Inference,f
12,ppp,economy,IX,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Effect-Absent Diagnostic Inference,f
12,ppp,economy,IX,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Effect-Absent Diagnostic Inference,f
12,ppp,economy,IX,"p(Y=1|Z=0, X=1)",humans,numeric-only,collider,58.0,,47.5,Effect-Absent Diagnostic Inference,f
12,ppp,economy,IX,,gemini-1.5-pro,single_numeric_response,collider,,0.0,25.0,Effect-Absent Diagnostic Inference,f
13,ppp,economy,X,p(X=1|Z=0),humans,numeric-only,collider,0.0,,41.42857142857143,Effect-Absent Diagnostic Inference,g
13,ppp,economy,X,,gpt-4o,single_numeric_response,collider,,0.0,0.0,Effect-Absent Diagnostic Inference,g
13,ppp,economy,X,,gemini-1.5-pro,single_numeric_response,collider,,0.0,50.0,Effect-Absent Diagnostic Inference,g
13,ppp,economy,X,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Effect-Absent Diagnostic Inference,g
13,ppp,economy,X,,claude-3-opus,single_numeric_response,collider,,0.0,25.0,Effect-Absent Diagnostic Inference,g
14,ppp,economy,X,,gpt-3.5-turbo,single_numeric_response,collider,,0.0,100.0,Effect-Absent Diagnostic Inference,g
14,ppp,economy,X,p(Y=1|Z=0),humans,numeric-only,collider,58.0,,41.42857142857143,Effect-Absent Diagnostic Inference,g
14,ppp,economy,X,,claude-3-opus,single_numeric_response,collider,,0.0,50.0,Effect-Absent Diagnostic Inference,g
14,ppp,economy,X,,gemini-1.5-pro,single_numeric_response,collider,,0.0,50.0,Effect-Absent Diagnostic Inference,g
